"id","application_id","name","type","geojson"
"52a55341-9e18-4320-bc7a-79d3388b5176","2e225144-f8bc-4af7-a7d4-2f4a4ee4a3ce","Contador12","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.666989922523499, 38.85614204606851]}, ""properties"": {""name"": ""Contador12"", ""type"": ""Physical"", ""dev_eui"": ""-"", ""feature"": ""Marker"", ""category"": ""SondasHumedad"", ""dev_name"": ""-"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""-""}}"
"532d81c0-b869-41b5-b45a-e6cdd06d3518","00ba414a-ab4f-448d-9730-e188580d6b6a","LSE01-36","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.664278868563114, 38.860765599079734]}, ""properties"": {""name"": ""LSE01-36"", ""type"": ""Physical"", ""dev_eui"": ""a840418421882c43"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-36"", ""platform"": ""Chirpstack"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"551e763a-0eda-42e5-a21b-71185b57b668","fd5d0bdf-8727-438c-af06-b6c3a7fdc261","solo4-elvas","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-7.143611, 38.903611]}, ""properties"": {""name"": ""solo4-elvas"", ""type"": ""Physical"", ""dev_eui"": ""2876673000000004"", ""feature"": ""Marker"", ""category"": ""Arduino-MKR1310-Solo"", ""dev_name"": ""solo4-elvas"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Arduino-MKR-WAN-1310-solo""}}"
"56c4b640-d78c-4451-a500-5731a38310e2","bb57ca71-27ad-4506-833f-5639986f2345","LLMS01-14","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.696539878845215, 38.993774764965615]}, ""properties"": {""name"": ""LLMS01-14"", ""type"": ""Physical"", ""dev_eui"": ""a84041901188cc10"", ""feature"": ""Marker"", ""category"": ""Dragino-LLMS01"", ""dev_name"": ""LLMS01-14"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LLMS01""}}"
"5a4c0c99-eaea-4b7f-98f8-c7fe48d5d2bb","fd5d0bdf-8727-438c-af06-b6c3a7fdc261","solo6-evora","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-8.014167, 38.533611]}, ""properties"": {""name"": ""solo6-evora"", ""type"": ""Physical"", ""dev_eui"": ""2856757000000006"", ""feature"": ""Marker"", ""category"": ""Arduino-MKR1310-Solo"", ""dev_name"": ""solo6-evora"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Arduino-MKR-WAN-1310-solo""}}"
"5af84135-c907-4d38-ab75-d256aa36cded","13e0d3ea-ccf5-42e8-bf2b-6beeb39461ec","Sensor-Dragino-LHT65-Default","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.341953126037371, 39.47826790638234]}, ""properties"": {""name"": ""Sensor-Dragino-LHT65-Default"", ""type"": ""Physical"", ""dev_eui"": ""a84041393189f477"", ""feature"": ""Marker"", ""category"": ""Sensor"", ""dev_name"": ""dragino-lht65n-default"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LHT65""}}"
"5b877587-98fb-4517-8fdf-6dcb1150d9d2","2e225144-f8bc-4af7-a7d4-2f4a4ee4a3ce","Marker0019","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.666834354400636, 38.85570732354884]}, ""properties"": {""name"": ""Marker0019"", ""type"": ""Physical"", ""dev_eui"": ""-"", ""feature"": ""Marker"", ""category"": ""Contadores"", ""dev_name"": ""-"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""-""}}"
"5ba66294-08d6-48eb-856f-d13b58f38a53","00ba414a-ab4f-448d-9730-e188580d6b6a","LSE01-29","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.666833398050716, 38.860614960147586]}, ""properties"": {""name"": ""LSE01-29"", ""type"": ""Physical"", ""dev_eui"": ""a84041c7f1882c3c"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-29"", ""platform"": ""Chirpstack"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"5ce73d96-8074-44df-913b-5a6a5cf2f367","2df8b3b7-9810-48f6-b62f-033e8db5899f","Cong-20-P0","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.6715174, 38.8523529]}, ""properties"": {""name"": ""Cong-20-P0"", ""type"": ""Physical"", ""dev_eui"": ""a840414a855caa12"", ""feature"": ""Marker"", ""category"": ""Sensor"", ""dev_name"": ""camara-20-p0"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LHT52""}}"
"5d053944-28e5-4f4e-96ec-a6fab086ab70","bb57ca71-27ad-4506-833f-5639986f2345","LSE01-04","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.697344541549683, 38.99896695885426]}, ""properties"": {""name"": ""LSE01-04"", ""type"": ""Physical"", ""dev_eui"": ""a840418d1187e640"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-04"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"613bb771-f33b-49ab-90a5-295c18529d06","00ba414a-ab4f-448d-9730-e188580d6b6a","LSE01-19","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.672885372874621, 38.85595126059027]}, ""properties"": {""name"": ""LSE01-19"", ""type"": ""Physical"", ""dev_eui"": ""a840412a91882c32"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-19"", ""platform"": ""Chirpstack"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"620124dc-5c42-4c2d-a22b-1459b8507faf","7c13db9b-8d96-4100-8cea-6466ac631353","LHT65N-07","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.341578960418702, 39.47891609051678]}, ""properties"": {""name"": ""LHT65N-07"", ""type"": ""Physical"", ""dev_eui"": ""a840410b718802e6"", ""feature"": ""Marker"", ""category"": ""Dragino-LHT65N"", ""dev_name"": ""LHT65N-07"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LHT65N""}}"
"63b7e379-731b-4c28-9fc0-815493047b35","00ba414a-ab4f-448d-9730-e188580d6b6a","LLMS01-02","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.6655682415901225, 38.862501012433896]}, ""properties"": {""name"": ""LLMS01-02"", ""type"": ""Physical"", ""dev_eui"": ""a84041c4e187e649"", ""feature"": ""Marker"", ""category"": ""Dragino-LLMS01"", ""dev_name"": ""LLMS01-02"", ""platform"": ""Chirpstack"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LLMS01""}}"
"66228a46-10be-488c-8fe4-e1f2982e6c18","2df8b3b7-9810-48f6-b62f-033e8db5899f","FR-01_Reactivos","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.67172133922577, 38.8522130636931]}, ""properties"": {""name"": ""FR-01_Reactivos"", ""type"": ""Physical"", ""dev_eui"": ""a8404137c35caa37"", ""feature"": ""Marker"", ""category"": ""Sensor"", ""dev_name"": ""fr1-lab"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LHT52""}}"
"69f3d388-3a55-43fa-a05b-b0faee93d98e","7c13db9b-8d96-4100-8cea-6466ac631353","LHT65N-03","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.3432151079177865, 39.47929875669081]}, ""properties"": {""name"": ""LHT65N-03"", ""type"": ""Physical"", ""dev_eui"": ""a84041aa9188019a"", ""feature"": ""Marker"", ""category"": ""Dragino-LHT65N"", ""dev_name"": ""LHT65N-03"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LHT65N""}}"
"6a6827fe-9fa1-4907-ae90-91a74ba459bf","bb57ca71-27ad-4506-833f-5639986f2345","LSE01-06","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.696507692337037, 38.99714086598935]}, ""properties"": {""name"": ""LSE01-06"", ""type"": ""Physical"", ""dev_eui"": ""a8404124d187e643"", ""feature"": ""Marker"", ""category"": ""Dragino-LSE01"", ""dev_name"": ""LSE01-06"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LSE01""}}"
"6abd1ee2-8168-4fe1-97ee-6749ac2f7541","bb57ca71-27ad-4506-833f-5639986f2345","S1-05","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-5.695445537567139, 38.99410581711365]}, ""properties"": {""name"": ""S1-05"", ""type"": ""Physical"", ""dev_eui"": ""cc0de7000000cc89"", ""feature"": ""Marker"", ""category"": ""Hydrodigit-S1"", ""dev_name"": ""S1-05"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Hydrodigit-S1""}}"
"6cbb1629-f89c-4605-8c79-997c13d1a288","7c13db9b-8d96-4100-8cea-6466ac631353","S2120-02","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.342753767967225, 39.478878785736086]}, ""properties"": {""name"": ""S2120-02"", ""type"": ""Physical"", ""dev_eui"": ""2cf7f1c04430040c"", ""feature"": ""Marker"", ""category"": ""SenseCAP-S2120"", ""dev_name"": ""S2120-02"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""SenseCAP-S2120""}}"
"6f3d06c5-0ae6-488f-aaf2-f49925c201fa","2df8b3b7-9810-48f6-b62f-033e8db5899f","Cámara-5-P1","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.671839356422425, 38.85248895723487]}, ""properties"": {""name"": ""Cámara-5-P1"", ""type"": ""Physical"", ""dev_eui"": ""a84041b7a25caa1e"", ""feature"": ""Marker"", ""category"": ""Sensor"", ""dev_name"": ""camara-5-p1"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LHT52""}}"
"70179e59-9d5c-447e-93b2-2bd8dc45ae1a","8069c292-977a-46ae-82f9-7eea2532f833","Dragino-LHT65N-Virtual","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.343295246225297, 39.47914324764176]}, ""properties"": {""name"": ""Dragino-LHT65N-Virtual"", ""type"": ""Virtual"", ""dev_eui"": ""j-jcojxr8vsxt1c*"", ""feature"": ""Marker"", ""category"": ""Dragino-LHT65N"", ""dev_name"": ""Virtual-Device-j-jcojxr8vsxt1c*"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Virtual-Device""}}"
"74325972-416d-4ac2-b9ec-a6e973e49730","00ba414a-ab4f-448d-9730-e188580d6b6a","LHT65N-08","Marker","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-6.673055951892951, 38.85808878421171]}, ""properties"": {""name"": ""LHT65N-08"", ""type"": ""Physical"", ""dev_eui"": ""a8404146918802e7"", ""feature"": ""Marker"", ""category"": ""Dragino-LHT65N"", ""dev_name"": ""LHT65N-08"", ""platform"": ""Chirpstack"", ""protocol"": ""LoRaWAN"", ""dev_profile"": ""Dragino-LHT65N""}}"
